Event Code,Description
10002,Program pointer has been reset or
10010,Motors OFF state
10011,Motors ON state
10012,Safety guard stop state
10013,Emergency stop state
10014,System failure state
10015,Manual mode selected
10016,Automatic mode requested
10017,Automatic mode confirmed
10018,Manual mode full speed requested
10019,Manual mode full speed confirmed
10020,Execution error state
10021,Execution error reset
10024,Collision triggered
10025,Collision confirmed
10026,Collision retraction
10027,Collision retraction fail
10030,All axes commutated
10031,All axes calibrated
10032,All revolution counters updated
10033,All axes synchronized
10034,Axis not commutated
10035,Axis not calibrated
10036,Revolution counter not updated
10037,Axis not synchronized
10038,Robot memory is OK
10039,Robot memory is not OK
10040,Program loaded
10041,Program deleted
10042,Axis synchronized
10044,Program Pointer updated
10045,System restarted
10046,System reset
10048,Background task did stop
10051,Event routine error
10052,Regain start
10053,Regain ready
10056,System shutdown initiated
10057,The controller name has been changed
10061,A target has been modified
10062,A module has been edited.
10063,Module has been edited
10064,A module has been erased.
10066,Not possible to load system module
10067,Program Pointer Reset
10068,Start Program
10074,NFS server up
10075,NFS server down
10076,FTP server up
10077,FTP server down
10078,A module has been edited
10079,A module has been edited
10082,RAPID Task supervision
10083,RAPID Task supervision
10084,RAPID Task supervision
10090,Reset RAPID done
10091,Restart not possible
10092,(Re)start not possible
10095,At least one task is unchecked in the task
10096,
10097,Restart not possible
10098,Restart not possible
10099,Program start rejected
10100,SFTP server up
10101,SFTP server down
10106,Time for service
10107,Close to service
10108,Time for service
10109,Close to service
10110,Gearbox needs service
10111,Gearbox reached service interval
10112,SIS calendar notification
10115,A backup is made of the robot memory
10116,Robot memory is restored from the
10117,The robot memory is cleared
10118,The backup of the robot memory is
10120,Program stopped
10121,Program stopped
10122,Program stopped
10123,Program stopped
10124,Program stopped
10125,Program stopped
10126,Program stopped
10127,Backward execution not possible
10128,Backward execution not possible
10129,Program stopped
10130,Program stopped
10131,Program stopped
10132,Program stopped
10133,Program stopped
10134,POWER_ON event routine stopped
10135,Program stopped
10136,Program stopped
10137,Program stopped
10138,Program stopped
10139,Execution is stopped
10140,Speed adjusted
10141,Program pointer moved to cursor
10142,Call routine
10143,Cancel call routine
10144,Simulate of Wait instruction
10145,Task selection panel is set
10146,Task selection panel is cleared
10147,Setting of variable
10148,Setting of IO
10149,Program Pointer moved to routine
10150,Program started
10151,Program started
10152,Program started
10153,Run mode is changed
10154,Run mode is changed
10155,Program restarted
10156,Program restarted
10157,Program restarted
10158,Program started
10159,Program started
10160,Pulsing of IO
10170,Background task
10171,Background task
10172,Background task
10173,Background task
10174,Background task
10175,Background task
10176,Background task
10177,Task refuses to start
10185,Task could not be prepared for start
10190,Protected area not done
10191,Protected area not done
10192,Protected area not done
10193,Protected area not done
10194,Protected area not done
10195,Protected area not done
10196,Protected area not done
10200,Event logs are cleared
10201,Event logs for one domain is cleared
10202,Date and/or time is changed
10205,Configuration parameter changed
10206,Configuration file has been loaded
10210,Execution cancelled
10211,Execution cancelled
10212,Execution cancelled
10213,Execution cancelled
10214,Execution cancelled
10215,Execution cancelled
10217,Execution cancelled
10218,Execution cancelled
10219,Execution cancelled
10230,Backup step ready
10231,Backup step ready
10232,Backup step ready
10233,Backup step ready
10250,Restore step ready
10251,Restore step ready
10252,Restore step ready
10253,Restore step ready
10254,Restore step ready
10255,Restore step ready
10260,System diagnostics info generated
10261,System diagnostics info unavailable
10262,System log has been created
10270,Cyclic Brake Check Done
10271,Cyclic Brake Check Started
10272,Brake Check Done
10273,Brake Check Started
10280,The coordinate system has been changed
10281,The coordinate system has been changed
