Event Code,Short Description,Full Description
10002,Program pointer has been reset or,"The program pointer of task arg has been reset or removed. Consequences If the program pointer has been reset, then the program execution will start on the first instruction of the task's entry routine. If the program pointer has been removed, then the program pointer must be set to be able to start execute the program. NOTE that the manipulator may move to unexpected position when restarted! Probable causes The operator has probably requested this action manually by setting the program pointer, editing the program or updating positions. Loading a new program or the Exit-instruction will also reset/remove the program pointer."
10010,Motors OFF state,"The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution. Consequences No operation will be possible until after closing the Motors ON circuit. The manipulator's axes are meanwhile held in position by mechanical holding brakes."
10011,Motors ON state,"The system is in the Motors ON state. Consequences The Motors ON circuit has been closed, enabling power supply to the manipulator's motors. Normal operation may be resumed."
10012,Safety guard stop state,"The system is in the Guard stop state. It enters this state either after switching from Automatic- to Manual mode, or after the Motors ON circuit has been opened by an Emergency Stop or Automatic Stop, or in Manual mode if Enabling device was released. Consequences No operation will be possible until after closing the Motors ON circuit. The manipulator's axes are meanwhile held in position by mechanical holding brakes. Probable causes Any safety device connected to the system's stop inputs have been opened. These are shown in the Circuit Diagram. Recommended actions 1 Check which safety device caused the stop. 2 Close the circuit. 3 To resume operation, switch the system back to state Motors ON."
10013,Emergency stop state,"The system is in the Emergency stop state, since the Motors ON circuit has been opened by an Emergency Stop device. Consequences All program execution and thus robot actions are immediately halted. The robot axes are meanwhile held in position by mechanical holding brakes. Probable causes Any emergency stop device connected to the emergency stop input have been opened. These may be internal (on the controller or on the FlexPendant) or external (devices connected by the system builder). The internal devices are shown in the Circuit Diagram. Recommended actions 1 Check which emergency stop device caused the stop. 2 Close/reset the device."
10014,System failure state,Execution of all NORMAL tasks has been stopped due to malfunction. Consequences No start of program execution or manual manipulator jogging will be possible until after the system has been restarted. Probable causes A large number of malfunctions may cause this condition. Please use the FlexPendant or RobotStudio to check other event log messages for events occurring at this time! Continues on next page Technical reference manual - Event logs for RobotWare 7 11 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx
10015,Manual mode selected,"The system is in the Manual mode. Consequences Programmed operation is possible, but only with a max. speed of 250 mm/s. The manipulator may also be jogged manually after pressing the enabling device on the FlexPendant."
10016,Automatic mode requested,The system has been ordered to go to the Automatic mode. Consequences The system will go to the Automatic mode after confirmed from FlexPendant.
10017,Automatic mode confirmed,The system is in the Automatic mode. Consequences The enabling device is disconnected. The robot can move without human intervention.
10018,Manual mode full speed requested,The system has been ordered to go to the Manual mode where the speed can be increased to programmed speed. Consequences The system will go to the Manual mode full speed.
10019,Manual mode full speed confirmed,The system is in the Manual mode and the speed can be increased to programmed speed. Consequences Programmed operation is possible while pressing the hold-to-run button on the FlexPendant. The manipulator may also be jogged manually after pressing the enabling device on the FlexPendant.
10020,Execution error state,"The program execution in task arg has been stopped due to a spontaneous error. Consequences No program execution will be possible until the error has been removed. Probable causes A large number of malfunctions may cause this condition. Please use the FlexPendant or RobotStudio to check other event log messages for events occurring at this time! Recommended actions 1 Determine what caused the stop by studying the event log. 2 Remedy the fault. 3 If necessary, move Program Pointer to main before pressing start button."
10021,Execution error reset,The program execution in task arg has left a spontaneous error state.
10024,Collision triggered,Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell. Consequences Manipulator movement is interrupted and program execution is stopped.
10025,Collision confirmed,The collision detection has been confirmed. Recommended actions
10026,Collision retraction,"The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded. Consequences The system is ready to go back to normal operation. Continues on next page 12 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
10027,Collision retraction fail,"The manipulator has attempted to back away from the obstacle, into which it collided, and failed. Consequences The system is NOT ready to go back to normal operation. Probable causes This may be caused by the robot being stuck to the object into which it collided. Recommended actions 1 Go to Manual Mode. 2 Manually run the robot away from the object. 3 Resume operation by restarting the program."
10030,All axes commutated,"After checking, the system has found all manipulator axes to be commutated. Consequences Normal operation is possible."
10031,All axes calibrated,"After checking, the system has found all manipulator axes to be calibrated. Consequences Normal operation is possible."
10032,All revolution counters updated,"After checking, the system has found all revolution counters for all manipulator axes to be updated. Consequences Normal operation is possible."
10033,All axes synchronized,"After checking, the system has found all manipulator axes to be synchronized. Consequences Normal operation is possible."
10034,Axis not commutated,"After checking, the system has found that one or more manipulator axes are not commutated. Consequences To enable operation, all manipulator axes must be commutated. Probable causes The manipulator drive motor and related units may have been altered, e.g. after replacing a faulty unit. Recommended actions Commutate the manipulator axes as detailed in the manipulator Product Manual."
10035,Axis not calibrated,"After checking, the system has found that one or more manipulator axes are not calibrated. Consequences To enable operation, all manipulator axes must be calibrated. Probable causes The manipulator drive motor and related units may have been altered, e.g. after replacing a faulty unit. Recommended actions Calibrate the manipulator axes as detailed in the manipulator Product Manual."
10036,Revolution counter not updated,"After checking, the system has found that the revolution counters of one or more manipulator axes are not updated. Consequences To enable operation, the revolution counters of all manipulator axes must be updated. Probable causes The manipulator drive motor and related units may have been altered, e.g. after replacing a faulty unit. Recommended actions Update the revolution counters of all manipulator axes as detailed in the manipulator Product Manual. Continues on next page Technical reference manual - Event logs for RobotWare 7 13 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
10037,Axis not synchronized,"After checking, the system has found that one or more manipulator axes are not synchronized. Consequences To enable operation, all manipulator axes must be synchronized. Probable causes The manipulator drive motor and related units may have been altered, e.g. after replacing a faulty unit. Recommended actions Synchronize the manipulator axes as detailed in the manipulator Product Manual."
10038,Robot memory is OK,"During startup, the system has found that all data in the robot memory is OK. Consequences Operation is possible."
10039,Robot memory is not OK,"During startup, the system has found that data in the robot memory is not OK. Consequences The robot cannot be used in Automatic mode until this has been resolved. Manually jogging of the robot is possible. Probable causes This may be due to replacement of Serial measurement board, controller or both. Recommended actions 1 Update the robot memory as detailed in Operating manual for the controller."
10040,Program loaded,"A program or program module has been loaded into task arg . After loading, arg bytes memory remain. The size of the loaded program is arg bytes."
10041,Program deleted,"A program or program module was deleted from task arg . Consequences If the deleted program contained the task entry routine, the program will no longer be executable. Probable causes The program may have been removed manually. Recommended actions 1 Define an entry routine in one of the task's remaining programs, or: 2 Load a program containing an entry routine."
10042,Axis synchronized,A fine calibration or update of revolution counter(s) was made.
10044,Program Pointer updated,The task arg could have changed the Program Pointer position. Recommended actions
10045,System restarted,System was restarted. Recommended actions
10046,System reset,Loading the original system installation settings. Recommended actions
10048,Background task did stop,The task arg has stopped. Recommended actions
10051,Event routine error,The task arg could not start the specified system event routine arg . The routine is either unknown to the system or the program is unlinkable. Recommended actions 1 Insert the routine in a system module or: 2 Correct the program or: Continues on next page 14 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
10052,Regain start,A regain movement has started. Recommended actions
10053,Regain ready,The regain movement is ready. Recommended actions
10056,System shutdown initiated,System shutdown is now initiated and steps are taken to stop activities and store the current state for the next startup. Recommended actions
10057,The controller name has been changed,The controller name has been changed to: arg
10061,A target has been modified,"A target in module arg in task arg has been modified or tuned. Start line arg , column arg , end line arg ."
10062,A module has been edited.,"Module arg in task arg has been edited between lines: arg , arg by arg ."
10063,Module has been edited,Module arg in task arg has been edited.
10064,A module has been erased.,Module arg in task arg has been erased.
10066,Not possible to load system module,System module arg in task arg cannot be loaded since the file is not found.
10067,Program Pointer Reset,"Unable to reset the program pointer for task arg . Consequences The program will not start. Probable causes • No program is loaded. • The main routine is missing. • There are errors in the program. Recommended actions 1 Load program if no program is loaded. 2 Check that the program has a main routine. If there is no main routine, add one. 3 Check for errors in the program and correct them. 4 See previous error messages in the Event log."
10068,Start Program,Unable to start program for task arg . Consequences The program will not execute.
10074,NFS server up,The control system communicates correctly with the NFS server arg .
10075,NFS server down,"The control system is not able to communicate correctly with the NFS server arg . Consequences If the server arg is defined as TRUSTED, robot program execution will be stopped. If the server is defined as NON-TRUSTED, execution will proceed. These definitions are specified in the Application manual - Controller software. Continues on next page Technical reference manual - Event logs for RobotWare 7 15 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
10076,FTP server up,The control system communicates correctly with the FTP server arg .
10077,FTP server down,"The robot controller is not able to communicate correctly with the FTP server arg . Consequences If the device arg is defined as TRUSTED, robot program execution will be stopped. If the device is defined as NON-TRUSTED, execution will proceed. These definitions are specified in the Application manual - Controller software. Probable causes If this message is displayed at first start-up, the server configuration may be incorrect. If displayed during operation, the previously working communication has been disconnected. Also see the IO Communication event log. Recommended actions 1 Check the FTP server configuration. 2 Check all communication hardware. 3 Check the FTP client configuration on the controller."
